idea_id,market,workshop,language,raw_text,submitted_by
idea_001,VN,Walk-the-Floor 2026-W22,vi,"Giảm độ dày lon 330ml xuống 0.235mm",SME_VN_03
idea_002,VN,Walk-the-Floor 2026-W22,vi,"giam can gauge 330ml",SME_VN_07
idea_003,VN,Walk-the-Floor 2026-W22,vi,"Bỏ in nhãn màu vàng trên thùng carton 24 lon",SME_VN_03
idea_004,VN,Walk-the-Floor 2026-W22,en,"Switch shrink film from PE to bio-PE on 500ml HDPE",SME_VN_11
idea_005,CN,Gemba Kaizen 2026-W23,zh,"330 毫升铝罐颈部规格统一为 202 直径",SME_CN_02
idea_006,CN,Gemba Kaizen 2026-W23,zh,"330ml 罐 颈口标准化 202",SME_CN_05
idea_007,CN,Gemba Kaizen 2026-W23,zh,"取消彩盒，改为简装托盘",SME_CN_02
idea_008,CN,Gemba Kaizen 2026-W23,zh,"啤酒瓶颈玻璃克重从 145g 降到 138g",SME_CN_08
idea_009,VN,Walk-the-Floor 2026-W22,vi,"Đổi nắp khoén 26mm sang 24mm",SME_VN_11
idea_010,CN,Gemba Kaizen 2026-W23,zh,"夏季出货取消热缩膜",SME_CN_05
